SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,Other remarks,
606243,Gwafu/Namilyango Road,Kampala East  ,Urban,B,Netis,Samuel Naseke,William Bwire,0.359861583,32.71803227,,
606247,Ham Towers,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.3280044,32.5704859,,
606236,Kayonza,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.1214667,30.1508871,,
606232,Laibi-Capacity,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,2.7600234,32.2966811,,
605772,Makanga,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.2334059,30.0073449,,
606097,Atipe,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.309557,32.4448968,,
606215,Butongo,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.2705954,29.7683056,,
606239,Ochero,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,1.677336667,33.01606167,,
606248,Labora_Oilango,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,2.729484,32.4067645,,
606245,Kyesiiga,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.639826208,31.76518997,,
606244,Kiteredde,Luwero ,Urban,B,I-Engineering,Robert Otim,Allan Kavuma,0.54958142,32.51366292,,
606253,Makerere Studio Flats,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.33025,32.56463167,,
606259,Forest Mall,Kampala East  ,Urban,B,Netis,Salim Kinene,William Bwire,0.3278384,32.6059165,,
606249,Gweri Road Soroti,Soroti  ,Rural,B,Netis,Moses Wandera,William Bwire,1.7155442,33.6266899,,
606302,Manduru,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,3.43908,31.1824,,
606314,Kankoole,Luwero ,Urban,C,I-Engineering,Robert Otim,Allan Kavuma,0.91695112,32.62746266,,
606286,Makerere Offshore Hostel,Kampala North,Urban,A,I-Engineering,Joash Lubwama,Allan Kavuma,0.3393078,32.5586597,,
606317,Bubuubi,Luwero ,Urban,B,I-Engineering,Robert Otim,Allan Kavuma,0.759578375,32.67112099,,
606313,Ongongoja,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,2.20171015,33.96935098,,
606330,Kigo Lunya,Kampala South ,Urban,B,Netis,Salim Kinene,William Bwire,0.21591,32.59418833,,
606335,Bendegere,Luwero ,Urban,C,I-Engineering,Robert Otim,Allan Kavuma,0.728924121,32.31500971,,
606332,Mbalwa,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.3725483,32.6553517,,
606301,Iyolwa,Jinja ,Rural,C,Netis,Jude Musana,William Bwire,0.611176667,33.98559333,,
606340,Kalamu House,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.335526667,32.57958167,,
606348,AHA Towers,Kampala East  ,Urban,A,Netis,Benbridge Mulongo,William Bwire,0.331183333,32.57876833,,
606303,Aburi B,Jinja ,Rural,B,Netis,Jude Musana,William Bwire,0.618151667,34.15136333,,
606307,Ochoto,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,0.742791667,34.29151667,,
606240,Mpasaana,Hoima  ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,1.043366667,31.414635,,
606339,Magamaga Town,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.516391667,33.34433667,,
606320,Ikaaba,Mukono ,Urban,C,Netis,Samuel Naseke,William Bwire,0.739401667,33.08778667,,
606256,Bungatira_TC,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,2.873294,32.2836372,,
606241,Mbogwa,Hoima  ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,0.972296667,30.96968,,
606237,Nshororo,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.9287105,31.0274671,,
605875,Kiryatete,Hoima  ,Rural,C,Camusat,Stephen Rwabwogo,Faridah Nantege,1.426995,31.345595,,
