SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,IENG_to_New_Vendor,CAM_to_New_Vendor,NET_to_IENG,,,
608115,Kadama,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.0192067,33.8895768,#N/A,#N/A,#N/A,Netis,Jude Musana,
605288,Laura,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,2.79759,31.0178404,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
605074,Baumann_House,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3137769,32.5870792,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
609683,Kagongo,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.163315,33.8107983,#N/A,#N/A,#N/A,Netis,Jude Musana,
607122,Gadith House / Sharp_Building,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3136532,32.5789085,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
607108,Emka House,TBC,TBC,TBC,IENG_to_New_Vendor,Joash Lubwama,Allan Kavuma,0.3208598,32.574618,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Joash Lubwama,
607012,Bauman House,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3138626,32.5871384,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
609240,Mbona,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.22324,30.3711067,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609577,Mujunza,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.1920325,31.4460651,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
609486,Kalagi 2,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.5047367,32.748765,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
605392,Bugema University,TBC,TBC,TBC,I-Engineering,Robert Otim,Allan Kavuma,0.56866,32.6526717,#N/A,#N/A,#N/A,I-Engineering,Robert Otim,
605360,Kyotera Town,TBC,TBC,TBC,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.630335,31.544775,#N/A,#N/A,#N/A,Camusat,M Patrick Kalibbala,
609676,Wabutungulu,TBC,TBC,TBC,I-Engineering,Robert Otim,Allan Kavuma,0.7385637,32.6820479,#N/A,#N/A,#N/A,I-Engineering,Robert Otim,
608220,Nakibungukia/Kisozi,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.737201667,33.09015,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
606078,Bataringaya Street,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1333532,30.5003268,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
608710,Ariya,TBC,TBC,TBC,I-Engineering,Moses Kaganda,Allan Kavuma,2.7720067,32.3484163,#N/A,#N/A,#N/A,I-Engineering,Moses Kaganda,
605777,Rukungiri - Heritage,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.8001311,29.9231204,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
608218,Nakatunya(Lira Road),TBC,TBC,TBC,Netis,Moses Wandera,Kenneth Andama,1.7210478,33.60263333,#N/A,#N/A,#N/A,Netis,Moses Wandera,
605923,Kizungu,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4979275,30.9073264,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
608714,Amunamun,TBC,TBC,TBC,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.070905,32.9086533,#N/A,#N/A,#N/A,I-Engineering,Muhamood Kyongo,
607713,Lubale,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.2630462,33.3800635,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
606149,Bweyale 2,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.962935,32.1513983,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
605219,Ishaka,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.5535249,30.1391161,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
606845,Pallisa 2,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.16474,33.7344633,#N/A,#N/A,#N/A,Netis,Jude Musana,
607346,Kyangale,TBC,TBC,TBC,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.3796267,31.7158093,#N/A,#N/A,#N/A,Camusat,M Patrick Kalibbala,
609873,Busalia,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.0686205,29.810798,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
605796,Bugana,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,2.066801667,31.52204,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
701589,Kireka_Centenary,TBC,TBC,TBC,Netis,Benbridge Mulongo,Kenneth Andama,0.34632142,32.64481961,#N/A,#N/A,#N/A,Netis,Benbridge Mulongo,
609612,Nyamwegabira,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.7867343,29.6993908,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
605943,Moniko,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.38563,32.9006,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
607452,Moniko,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.383966667,32.900555,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
605164,Mpererwe,TBC,TBC,TBC,I-Engineering,Joash Lubwama,Allan Kavuma,0.3854733,32.5746538,#N/A,#N/A,#N/A,I-Engineering,Joash Lubwama,
607188,Kansanga Kiwafu,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.2850501,32.6175575,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
701282,Mutungo Zone 4,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3161832,32.6486412,#N/A,#N/A,#N/A,Netis,Benbridge Mulongo,
609862,Rwenkuba,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.7861004,30.6897979,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
701193,Butagatsi Cell,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.7876937,29.9217601,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
605116,Kasule Aisa,TBC,TBC,TBC,IENG_to_New_Vendor,Joash Lubwama,Allan Kavuma,0.3314656,32.5737952,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Joash Lubwama,
607018,Biko,TBC,TBC,TBC,CAM_to_New_Vendor,Christopher Alituha,Faridah Nantege,0.7564926,31.9417598,#N/A,CAM_to_IENG,#N/A,Camusat,Christopher Alituha,
606853,Kaluuba A,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.3951597,33.5203404,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
606841,Ajaa Ogala,TBC,TBC,TBC,I-Engineering,Moses Kaganda,Allan Kavuma,3.33858004,32.47898886,#N/A,#N/A,#N/A,I-Engineering,Moses Kaganda,
607167,Kalagi,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.50127,32.7358868,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
605213,Ibanda,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.2189133,30.5039267,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
608342,Kirerema,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.7678492,33.7254938,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
609596,Masandala,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.712275,30.0727983,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
605797,Kisasi Central,TBC,TBC,TBC,Netis,Benbridge Mulongo,Kenneth Andama,0.3799014,32.6032814,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
605157,Koboko,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.40889,30.9600367,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
608506,Acholibur,TBC,TBC,TBC,I-Engineering,Moses Kaganda,Allan Kavuma,3.22695,32.375475,#N/A,#N/A,#N/A,I-Engineering,Moses Kaganda,
606575,Nawampendo,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.5409418,33.5480897,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
607264,Kireka Kamuli,TBC,TBC,TBC,Netis,Benbridge Mulongo,Kenneth Andama,0.35472706,32.64895656,#N/A,#N/A,#N/A,Netis,Benbridge Mulongo,
608069,Butabala,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.890903333,33.09970167,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
